بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ || <wasl> l la ðii na <space> ya ðˤu n nuu na <space> ʔa n na hu m <space> m mu laa quu <space> ra b bi hi m <space> wa ʔa n na hu m <space> ʔi la y hi <space> raa ji ʕuu na
يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ || yaa <space> ba nii <space> ʔi s raa ʔii la <space> <wasl> ð ku ruu <space> ni ʕ ma ti ya <space> <wasl> l la tii <space> ʔa n ʕa m tu <space> ʕa la y ku m <space> wa ʔa n nii <space> fa dˤ dˤa l tu ku m <space> ʕa laa <space> <wasl> l ʕaa la mii na
وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ || wa <wasl> t ta quu <space> ya w man <space> l laa <space> ta j zi yii <space> na f sun <space> ʕa n <space> n na f sin <space> ʃa y ʔan <space> wa laa <space> yu q ba lu <space> mi n haa <space> ʃa faa ʕa Tun <space> wa laa <space> yu ʔ xa ðu <space> mi n haa <space> ʕa d lun <space> wa laa <space> hu m <space> yu n sˤa ruu na
وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ || wa ʔi ð <space> na j ja y naa ku m <space> m mi n <space> ʔaa li <space> fi r ʕa w na <space> ya suu muu na ku m <space> suu ʔa <space> <wasl> l ʕa ðaa bi <space> yu ða b bi ħuu na <space> ʔa b naa ʔa ku m <space> wa ya s ta ħ yuu na <space> ni saa ʔa ku m <space> wa fii <space> ðaa li ku m <space> ba laa ʔun <space> m mi n <space> r ra b bi ku m <space> ʕa ðˤii mun
وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ || wa ʔi ð <space> fa ra q naa <space> bi ku mu <space> <wasl> l ba ħ ra <space> fa ʔa n ja y naa ku m <space> wa ʔa ɣ ra q naa <space> ʔaa la <space> fi r ʕa w na <space> wa ʔa n tu m <space> ta n ðˤu ruu na
وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ || wa ʔi ð <space> waa ʕa d naa <space> muu saa <space> ʔa r ba ʕii na <space> la y la Tan <space> θu m ma <space> <wasl> t ta xa ð tu mu <space> <wasl> l ʕi j la <space> mi n <space> ba ʕ di hii <space> wa ʔa n tu m <space> ðˤaa li muu na
ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ || θu m ma <space> ʕa fa w naa <space> ʕa n ku m <space> m mi n <space> ba ʕ di <space> ðaa li ka <space> la ʕa l la ku m <space> ta ʃ ku ruu na
وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ || wa ʔi ð <space> ʔaa ta y naa <space> muu saa <space> <wasl> l ki taa ba <space> wa <wasl> l fu r qaa na <space> la ʕa l la ku m <space> ta h ta duu na
وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ || wa ʔi ð <space> qaa la <space> muu saa <space> li qa w mi hii <space> yaa <space> qa w mi <space> ʔi n na ku m <space> ðˤa la m tu m <space> ʔa n fu sa ku m <space> bi <wasl> t ti xaa ði ku mu <space> <wasl> l ʕi j la <space> fa tuu buu <space> ʔi laa <space> baa ri ʔi ku m <space> fa q tu luu <space> ʔa n fu sa ku m <space> ðaa li ku m <space> xa y run <space> l la ku m <space> ʕi n da <space> baa ri ʔi ku m <space> fa taa ba <space> ʕa la y ku m <space> ʔi n na huu <space> hu wa <space> <wasl> t ta w waa bu <space> <wasl> r ra ħii mu
وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّٰهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ || wa ʔi ð <space> qu l tu m <space> yaa <space> muu saa <space> la n <space> n nu ʔ mi na <space> la ka <space> ħa t taa <space> na raa <space> <wasl> l laa ha <space> ja h ra Tan <space> fa ʔa xa ða t ku mu <space> <wasl> sˤ sˤaa ʕi qa Tu <space> wa ʔa n tu m <space> ta n ðˤu ruu na
ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ || θu m ma <space> ba ʕa θ naa ku m <space> m mi n <space> ba ʕ di <space> ma w ti ku m <space> la ʕa l la ku m <space> ta ʃ ku ruu na
وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ ۖ كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ ۖ وَمَا ظَلَمُونَا وَلَـٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ || wa ðˤa l la <wasl> l naa <space> ʕa la y ku mu <space> <wasl> l ɣa maa ma <space> wa ʔa n za l naa <space> ʕa la y ku mu <space> <wasl> l ma n na <space> wa <wasl> s sa l waa <space> ku luu <space> mi n <space> tˤa y yi baa ti <space> maa <space> ra za q naa ku m <space> wa maa <space> ðˤa la muu naa <space> wa laa ki n <space> kaa nuu <space> ʔa n fu sa hu m <space> ya ðˤ li muu na
وَإِذْ قُلْنَا ادْخُلُوا هَـٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ ۚ وَسَنَزِيدُ الْمُحْسِنِينَ || wa ʔi ð <space> qu l naa <space> <wasl> d xu luu <space> haa ði hi <space> <wasl> l qa r ya Ta <space> fa ku luu <space> mi n haa <space> ħa y θu <space> ʃi ʔ tu m <space> ra ɣa dan <space> wa <wasl> d xu luu <space> <wasl> l baa ba <space> su j ja dan <space> wa quu luu <space> ħi tˤ tˤa Tun <space> n na ɣ fi r <space> la ku m <space> xa tˤaa yaa ku m <space> wa sa na zii du <space> <wasl> l mu ħ si nii na
فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِّنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ || fa ba d da la <space> <wasl> l la ðii na <space> ðˤa la muu <space> qa w lan <space> ɣa y ra <space> <wasl> l la ðii <space> qii la <space> la hu m <space> fa ʔa n za l naa <space> ʕa laa <space> <wasl> l la ðii na <space> ðˤa la muu <space> ri j zan <space> m mi na <space> <wasl> s sa maa ʔi <space> bi maa <space> kaa nuu <space> ya f su quu na
وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِب بِّعَصَاكَ الْحَجَرَ ۖ فَانفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا ۖ قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ ۖ كُلُوا وَاشْرَبُوا مِن رِّزْقِ اللَّٰهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ || wa ʔi ði <space> <wasl> s ta s qaa <space> muu saa <space> li qa w mi hii <space> fa qu l naa <space> <wasl> dˤ ri b <space> b bi ʕa sˤaa ka <space> <wasl> l ħa ja ra <space> fa <wasl> n fa ja ra t <space> mi n hu <space> <wasl> θ na taa <space> ʕa ʃ ra Ta <space> ʕa y nan <space> qa d <space> ʕa li ma <space> ku l lu <space> ʔu naa sin <space> m ma ʃ ra ba hu m <space> ku luu <space> wa <wasl> ʃ ra buu <space> mi n <space> r ri z qi <space> <wasl> l laa hi <space> wa laa <space> ta ʕ θa w <space> fii <space> <wasl> l ʔa r dˤi <space> mu f si dii na
وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنبِتُ الْأَرْضُ مِن بَقْلِهَا وَقِثَّائِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا ۖ قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَىٰ بِالَّذِي هُوَ خَيْرٌ ۚ اهْبِطُوا مِصْرًا فَإِنَّ لَكُم مَّا سَأَلْتُمْ ۗ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاءُوا بِغَضَبٍ مِّنَ اللَّٰهِ ۗ ذَٰلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّٰهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ ۗ ذَٰلِكَ بِمَا عَصَوا وَّكَانُوا يَعْتَدُونَ || wa ʔi ð <space> qu l tu m <space> yaa <space> muu saa <space> la n <space> n na sˤ bi ra <space> ʕa laa <space> tˤa ʕaa min <space> waa ħi din <space> fa <wasl> d ʕu <space> la naa <space> ra b ba ka <space> yu x ri j <space> la naa <space> mi m maa <space> tu n bi tu <space> <wasl> l ʔa r dˤu <space> mi n <space> ba q li haa <space> wa qi θ θaa ʔi haa <space> wa fuu mi haa <space> wa ʕa da si haa <space> wa ba sˤa li haa <space> qaa la <space> ʔa ta s ta b di luu na <space> <wasl> l la ðii <space> hu wa <space> ʔa d naa <space> bi <wasl> l la ðii <space> hu wa <space> xa y run <space> <wasl> h bi tˤuu <space> mi sˤ ran <space> fa ʔi n na <space> la ku m <space> m maa <space> sa ʔa l tu m <space> wa dˤu ri ba t <space> ʕa la y hi mu <space> <wasl> ð ði l la Tu <space> wa <wasl> l ma s ka na Tu <space> wa baa ʔuu <space> bi ɣa dˤa bin <space> m mi na <space> <wasl> l laa hi <space> ðaa li ka <space> bi ʔa n na hu m <space> kaa nuu <space> ya k fu ruu na <space> bi ʔaa yaa ti <space> <wasl> l laa hi <space> wa ya q tu luu na <space> <wasl> n na bi y yii na <space> bi ɣa y ri <space> <wasl> l ħa q qi <space> ðaa li ka <space> bi maa <space> ʕa sˤa w <space> w wa kaa nuu <space> ya ʕ ta duu na
إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنَّصَارَىٰ وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّٰهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ || ʔi n na <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> wa <wasl> l la ðii na <space> haa duu <space> wa <wasl> n na sˤaa raa <space> wa <wasl> sˤ sˤaa bi ʔii na <space> ma n <space> ʔaa ma na <space> bi <wasl> l laa hi <space> wa <wasl> l ya w mi <space> <wasl> l ʔaa xi ri <space> wa ʕa mi la <space> sˤaa li ħan <space> fa la hu m <space> ʔa j ru hu m <space> ʕi n da <space> ra b bi hi m <space> wa laa <space> xa w fun <space> ʕa la y hi m <space> wa laa <space> hu m <space> ya ħ za nuu na
وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُوا مَا آتَيْنَاكُم بِقُوَّةٍ وَاذْكُرُوا مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ || wa ʔi ð <space> ʔa xa ð naa <space> mii θaa qa ku m <space> wa ra fa ʕ naa <space> fa w qa ku mu <space> <wasl> tˤ tˤuu ra <space> xu ðuu <space> maa <space> ʔaa ta y naa ku m <space> bi qu w wa Tin <space> wa <wasl> ð ku ruu <space> maa <space> fii hi <space> la ʕa l la ku m <space> ta t ta quu na
ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَٰلِكَ ۖ فَلَوْلَا فَضْلُ اللَّٰهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنتُم مِّنَ الْخَاسِرِينَ || θu m ma <space> ta wa l la y tu m <space> m mi n <space> ba ʕ di <space> ðaa li ka <space> fa la w laa <space> fa dˤ lu <space> <wasl> l laa hi <space> ʕa la y ku m <space> wa ra ħ ma tu huu <space> la ku n tu m <space> m mi na <space> <wasl> l xaa si rii na
وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ || wa la qa d <space> ʕa li m tu mu <space> <wasl> l la ðii na <space> <wasl> ʕ ta da w <space> mi n ku m <space> fii <space> <wasl> s sa b ti <space> fa qu l naa <space> la hu m <space> kuu nuu <space> qi ra da Tan <space> xaa si ʔii na
فَجَعَلْنَاهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ || fa ja ʕa l naa haa <space> na kaa lan <space> l li maa <space> ba y na <space> ya da y haa <space> wa maa <space> xa l fa haa <space> wa ma w ʕi ðˤa Tan <space> l li <wasl> l mu t ta qii na
وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ إِنَّ اللَّٰهَ يَأْمُرُكُمْ أَن تَذْبَحُوا بَقَرَةً ۖ قَالُوا أَتَتَّخِذُنَا هُزُوًا ۖ قَالَ أَعُوذُ بِاللَّٰهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ || wa ʔi ð <space> qaa la <space> muu saa <space> li qa w mi hii <space> ʔi n na <space> <wasl> l laa ha <space> ya ʔ mu ru ku m <space> ʔa n <space> ta ð ba ħuu <space> ba qa ra Tan <space> qaa luu <space> ʔa ta t ta xi ðu naa <space> hu zu wan <space> qaa la <space> ʔa ʕuu ðu <space> bi <wasl> l laa hi <space> ʔa n <space> ʔa kuu na <space> mi na <space> <wasl> l jaa hi lii na
قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ ۚ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا فَارِضٌ وَلَا بِكْرٌ عَوَانٌ بَيْنَ ذَٰلِكَ ۖ فَافْعَلُوا مَا تُؤْمَرُونَ || qaa luu <space> <wasl> d ʕu <space> la naa <space> ra b ba ka <space> yu ba y yi n <space> l la naa <space> maa <space> hi ya <space> qaa la <space> ʔi n na huu <space> ya quu lu <space> ʔi n na haa <space> ba qa ra Tun <space> l laa <space> faa ri dˤun <space> wa laa <space> bi k run <space> ʕa waa nun <space> ba y na <space> ðaa li ka <space> fa f ʕa luu <space> maa <space> tu ʔ ma ruu na
قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَا ۚ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ صَفْرَاءُ فَاقِعٌ لَّوْنُهَا تَسُرُّ النَّاظِرِينَ || qaa luu <space> <wasl> d ʕu <space> la naa <space> ra b ba ka <space> yu ba y yi n <space> l la naa <space> maa <space> la w nu haa <space> qaa la <space> ʔi n na huu <space> ya quu lu <space> ʔi n na haa <space> ba qa ra Tun <space> sˤa f raa ʔu <space> faa qi ʕun <space> l la w nu haa <space> ta su r ru <space> <wasl> n naa ðˤi rii na
قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ إِنَّ الْبَقَرَ تَشَابَهَ عَلَيْنَا وَإِنَّا إِن شَاءَ اللَّٰهُ لَمُهْتَدُونَ || qaa luu <space> <wasl> d ʕu <space> la naa <space> ra b ba ka <space> yu ba y yi n <space> l la naa <space> maa <space> hi ya <space> ʔi n na <space> <wasl> l ba qa ra <space> ta ʃaa ba ha <space> ʕa la y naa <space> wa ʔi n naa <space> ʔi n <space> ʃaa ʔa <space> <wasl> l laa hu <space> la mu h ta duu na
قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا ذَلُولٌ تُثِيرُ الْأَرْضَ وَلَا تَسْقِي الْحَرْثَ مُسَلَّمَةٌ لَّا شِيَةَ فِيهَا ۚ قَالُوا الْآنَ جِئْتَ بِالْحَقِّ ۚ فَذَبَحُوهَا وَمَا كَادُوا يَفْعَلُونَ || qaa la <space> ʔi n na huu <space> ya quu lu <space> ʔi n na haa <space> ba qa ra Tun <space> l laa <space> ða luu lun <space> tu θii ru <space> <wasl> l ʔa r dˤa <space> wa laa <space> ta s qi yii <space> <wasl> l ħa r θa <space> mu sa l la ma Tun <space> l laa <space> ʃi ya Ta <space> fii haa <space> qaa luu <space> <wasl> l ʔaa na <space> ji ʔ ta <space> bi <wasl> l ħa q qi <space> fa ða ba ħuu haa <space> wa maa <space> kaa duu <space> ya f ʕa luu na
وَإِذْ قَتَلْتُمْ نَفْسًا فَادَّارَأْتُمْ فِيهَا ۖ وَاللَّٰهُ مُخْرِجٌ مَّا كُنتُمْ تَكْتُمُونَ || wa ʔi ð <space> qa ta l tu m <space> na f san <space> faa d daa ra ʔ tu m <space> fii haa <space> wa <wasl> l laa hu <space> mu x ri jun <space> m maa <space> ku n tu m <space> ta k tu muu na
فَقُلْنَا اضْرِبُوهُ بِبَعْضِهَا ۚ كَذَٰلِكَ يُحْيِي اللَّٰهُ الْمَوْتَىٰ وَيُرِيكُمْ آيَاتِهِ لَعَلَّكُمْ تَعْقِلُونَ || fa qu l naa <space> <wasl> dˤ ri buu hu <space> bi ba ʕ dˤi haa <space> ka ðaa li ka <space> yu ħ yi yii <space> <wasl> l laa hu <space> <wasl> l ma w taa <space> wa yu rii ku m <space> ʔaa yaa ti hii <space> la ʕa l la ku m <space> ta ʕ qi luu na
ثُمَّ قَسَتْ قُلُوبُكُم مِّن بَعْدِ ذَٰلِكَ فَهِيَ كَالْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةً ۚ وَإِنَّ مِنَ الْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ الْأَنْهَارُ ۚ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ الْمَاءُ ۚ وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ اللَّٰهِ ۗ وَمَا اللَّٰهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ || θu m ma <space> qa sa t <space> qu luu bu ku m <space> m mi n <space> ba ʕ di <space> ðaa li ka <space> fa hi ya <space> ka <wasl> l ħi jaa ra Ti <space> ʔa w <space> ʔa ʃa d du <space> qa s wa Tan <space> wa ʔi n na <space> mi na <space> <wasl> l ħi jaa ra Ti <space> la maa <space> ya ta fa j ja ru <space> mi n hu <space> <wasl> l ʔa n haa ru <space> wa ʔi n na <space> mi n haa <space> la maa <space> ya ʃ ʃa q qa qu <space> fa ya x ru ju <space> mi n hu <space> <wasl> l maa ʔu <space> wa ʔi n na <space> mi n haa <space> la maa <space> ya h bi tˤu <space> mi n <space> xa ʃ ya Ti <space> <wasl> l laa hi <space> wa maa <space> <wasl> l laa hu <space> bi ɣaa fi lin <space> ʕa m maa <space> ta ʕ ma luu na
